,player,scrape_name,player_image_link
1792,Jaron Blossomgame,blossja01,https://www.basketball-reference.com/req/202106291/images/headshots/blossja01.jpg
1793,Isaac Bonga,bongais01,https://www.basketball-reference.com/req/202106291/images/headshots/bongais01.jpg
1794,Jevon Carter,carteje01,https://www.basketball-reference.com/req/202106291/images/headshots/carteje01.jpg
1795,Rawle Alkins,alkinra01,https://www.basketball-reference.com/req/202106291/images/headshots/alkinra01.jpg
1796,Brandon Goodwin,goodwbr01,https://www.basketball-reference.com/req/202106291/images/headshots/goodwbr01.jpg
1797,Troy Caupain,caupatr01,https://www.basketball-reference.com/req/202106291/images/headshots/caupatr01.jpg
1798,Amile Jefferson,jeffeam01,https://www.basketball-reference.com/req/202106291/images/headshots/jeffeam01.jpg
1799,J.P. Macura,macurjp01,https://www.basketball-reference.com/req/202106291/images/headshots/macurjp01.jpg
1800,Lonnie Walker,walkelo01,https://www.basketball-reference.com/req/202106291/images/headshots/walkelo01.jpg
1801,Haywood Highsmith,highsha01,https://www.basketball-reference.com/req/202106291/images/headshots/highsha01.jpg
1802,Deng Adel,adelde01,https://www.basketball-reference.com/req/202106291/images/headshots/adelde01.jpg
1803,Daryl Macon,maconda01,https://www.basketball-reference.com/req/202106291/images/headshots/maconda01.jpg
1804,Emanuel Terry,terryem01,https://www.basketball-reference.com/req/202106291/images/headshots/terryem01.jpg
1805,Mitch Creek,creekmi01,https://www.basketball-reference.com/req/202106291/images/headshots/creekmi01.jpg
1806,Joe Chealey,chealjo01,https://www.basketball-reference.com/req/202106291/images/headshots/chealjo01.jpg
1807,Brandon Sampson,sampsbr01,https://www.basketball-reference.com/req/202106291/images/headshots/sampsbr01.jpg
1808,Julian Washburn,washbju01,https://www.basketball-reference.com/req/202106291/images/headshots/washbju01.jpg
1809,Jarred Vanderbilt,vandeja01,https://www.basketball-reference.com/req/202106291/images/headshots/vandeja01.jpg
1810,Ángel Delgado,delgaán01,https://www.basketball-reference.com/req/202106291/images/headshots/delgaán01.jpg
1811,Donte Grantham,grantdo01,https://www.basketball-reference.com/req/202106291/images/headshots/grantdo01.jpg
1812,Trevon Duval,duvaltr01,https://www.basketball-reference.com/req/202106291/images/headshots/duvaltr01.jpg
1813,Bonzie Colson,colsobo01,https://www.basketball-reference.com/req/202106291/images/headshots/colsobo01.jpg
1814,Jordan Sibert,siberjo01,https://www.basketball-reference.com/req/202106291/images/headshots/siberjo01.jpg
1815,Tahjere McCall,mccalta01,https://www.basketball-reference.com/req/202106291/images/headshots/mccalta01.jpg
1816,B.J. Johnson,johnsbj01,https://www.basketball-reference.com/req/202106291/images/headshots/johnsbj01.jpg
1817,Cameron Reynolds,reynoca01,https://www.basketball-reference.com/req/202106291/images/headshots/reynoca01.jpg
1818,Ray Spalding,spaldra01,https://www.basketball-reference.com/req/202106291/images/headshots/spaldra01.jpg
1819,Dairis Bertāns,bertāda01,https://www.basketball-reference.com/req/202106291/images/headshots/bertāda01.jpg
1820,Kostas Antetokounmpo,antetko01,https://www.basketball-reference.com/req/202106291/images/headshots/antetko01.jpg
1821,Zhaire Smith,smithzh01,https://www.basketball-reference.com/req/202106291/images/headshots/smithzh01.jpg
1822,Chris Chiozza,chiozch01,https://www.basketball-reference.com/req/202106291/images/headshots/chiozch01.jpg
1823,Dusty Hannahs,hannadu01,https://www.basketball-reference.com/req/202106291/images/headshots/hannadu01.jpg
1824,Jemerrio Jones,jonesje01,https://www.basketball-reference.com/req/202106291/images/headshots/jonesje01.jpg
1825,Isaac Humphries,humphis01,https://www.basketball-reference.com/req/202106291/images/headshots/humphis01.jpg
1826,Billy Garrett,garrebi01,https://www.basketball-reference.com/req/202106291/images/headshots/garrebi01.jpg
1827,Yante Maten,matenya01,https://www.basketball-reference.com/req/202106291/images/headshots/matenya01.jpg
1828,Nickeil Alexander-Walker,alexani01,https://www.basketball-reference.com/req/202106291/images/headshots/alexani01.jpg
1829,Nicolò Melli,mellini01,https://www.basketball-reference.com/req/202106291/images/headshots/mellini01.jpg
1830,Terence Davis,daviste01,https://www.basketball-reference.com/req/202106291/images/headshots/daviste01.jpg
1831,Jarrett Culver,culveja01,https://www.basketball-reference.com/req/202106291/images/headshots/culveja01.jpg
1832,Coby White,whiteco01,https://www.basketball-reference.com/req/202106291/images/headshots/whiteco01.jpg
1833,P.J. Washington,washipj01,https://www.basketball-reference.com/req/202106291/images/headshots/washipj01.jpg
1834,Rui Hachimura,hachiru01,https://www.basketball-reference.com/req/202106291/images/headshots/hachiru01.jpg
1835,Admiral Schofield,schofad01,https://www.basketball-reference.com/req/202106291/images/headshots/schofad01.jpg
1836,Ja Morant,moranja01,https://www.basketball-reference.com/req/202106291/images/headshots/moranja01.jpg
1837,Marko Guduric,gudurma01,https://www.basketball-reference.com/req/202106291/images/headshots/gudurma01.jpg
1838,Brandon Clarke,clarkbr01,https://www.basketball-reference.com/req/202106291/images/headshots/clarkbr01.jpg
1839,Tyler Herro,herroty01,https://www.basketball-reference.com/req/202106291/images/headshots/herroty01.jpg
1840,Kendrick Nunn,nunnke01,https://www.basketball-reference.com/req/202106291/images/headshots/nunnke01.jpg
1841,Chris Silva,silvach01,https://www.basketball-reference.com/req/202106291/images/headshots/silvach01.jpg
1842,Darius Garland,garlada01,https://www.basketball-reference.com/req/202106291/images/headshots/garlada01.jpg
1843,Kevin Porter,porteke01,https://www.basketball-reference.com/req/202106291/images/headshots/porteke01.jpg
1844,Carsen Edwards,edwarca01,https://www.basketball-reference.com/req/202106291/images/headshots/edwarca01.jpg
1845,Grant Williams,willigr01,https://www.basketball-reference.com/req/202106291/images/headshots/willigr01.jpg
1846,Matisse Thybulle,thybuma01,https://www.basketball-reference.com/req/202106291/images/headshots/thybuma01.jpg
1847,Jared Harper,harpeja01,https://www.basketball-reference.com/req/202106291/images/headshots/harpeja01.jpg
1848,RJ Barrett,barrerj01,https://www.basketball-reference.com/req/202106291/images/headshots/barrerj01.jpg
1849,Darius Bazley,bazleda01,https://www.basketball-reference.com/req/202106291/images/headshots/bazleda01.jpg
1850,De'Andre Hunter,huntede01,https://www.basketball-reference.com/req/202106291/images/headshots/huntede01.jpg
1851,Bruno Fernando,fernabr01,https://www.basketball-reference.com/req/202106291/images/headshots/fernabr01.jpg
1852,Cam Reddish,reddica01,https://www.basketball-reference.com/req/202106291/images/headshots/reddica01.jpg
1853,Mfiondu Kabengele,kabenmf01,https://www.basketball-reference.com/req/202106291/images/headshots/kabenmf01.jpg
1854,Eric Paschall,pascher01,https://www.basketball-reference.com/req/202106291/images/headshots/pascher01.jpg
1855,Jordan Poole,poolejo01,https://www.basketball-reference.com/req/202106291/images/headshots/poolejo01.jpg
1856,Kelan Martin,martike01,https://www.basketball-reference.com/req/202106291/images/headshots/martike01.jpg
